bigram,count,codepoints,unicode_names
ွာ,46,U+103D U+102C,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AA
ဆာ,46,U+1006 U+102C,MYANMAR LETTER CHA | MYANMAR VOWEL SIGN AA
ေါ,46,U+1031 U+102B,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA
တၞ,45,U+1010 U+105E,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ဝွ,45,U+101D U+103D,MYANMAR LETTER WA | MYANMAR CONSONANT SIGN MEDIAL WA
ဒ္,45,U+1012 U+1039,MYANMAR LETTER DA | MYANMAR SIGN VIRAMA
ါန,45,U+102B U+1014,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER NA
ါ်,45,U+102B U+103A,MYANMAR VOWEL SIGN TALL AA | MYANMAR SIGN ASAT
ိ။,45,U+102D U+104B,MYANMAR VOWEL SIGN I | MYANMAR SIGN SECTION
ံဟ,45,U+1036 U+101F,MYANMAR SIGN ANUSVARA | MYANMAR LETTER HA
ဴ။,44,U+1034 U+104B,MYANMAR VOWEL SIGN MON O | MYANMAR SIGN SECTION
်ဖ,44,U+103A U+1016,MYANMAR SIGN ASAT | MYANMAR LETTER PHA
ဒေ,44,U+1012 U+1031,MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
မု,44,U+1019 U+102F,MYANMAR LETTER MA | MYANMAR VOWEL SIGN U
စေ,44,U+1005 U+1031,MYANMAR LETTER CA | MYANMAR VOWEL SIGN E
သၟ,43,U+101E U+105F,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ဍိ,43,U+100D U+102D,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN I
ၟာ,43,U+105F U+102C,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN AA
စု,43,U+1005 U+102F,MYANMAR LETTER CA | MYANMAR VOWEL SIGN U
ယၟ,43,U+101A U+105F,MYANMAR LETTER YA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ာစ,43,U+102C U+1005,MYANMAR VOWEL SIGN AA | MYANMAR LETTER CA
ေန,43,U+1031 U+1014,MYANMAR VOWEL SIGN E | MYANMAR LETTER NA
မ်,42,U+1019 U+103A,MYANMAR LETTER MA | MYANMAR SIGN ASAT
်ယ,42,U+103A U+101A,MYANMAR SIGN ASAT | MYANMAR LETTER YA
ယဝ,42,U+101A U+101D,MYANMAR LETTER YA | MYANMAR LETTER WA
တီ,42,U+1010 U+102E,MYANMAR LETTER TA | MYANMAR VOWEL SIGN II
္က,42,U+1039 U+1000,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA
းအ,41,U+1038 U+1021,MYANMAR SIGN VISARGA | MYANMAR LETTER A
ျူ,41,U+103B U+1030,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN UU
်ဆ,41,U+103A U+1006,MYANMAR SIGN ASAT | MYANMAR LETTER CHA
းလ,41,U+1038 U+101C,MYANMAR SIGN VISARGA | MYANMAR LETTER LA
ဒၟ,41,U+1012 U+105F,MYANMAR LETTER DA | MYANMAR CONSONANT SIGN MON MEDIAL MA
မဂ,40,U+1019 U+1002,MYANMAR LETTER MA | MYANMAR LETTER GA
းဂ,40,U+1038 U+1002,MYANMAR SIGN VISARGA | MYANMAR LETTER GA
သေ,40,U+101E U+1031,MYANMAR LETTER SA | MYANMAR VOWEL SIGN E
ကလ,40,U+1000 U+101C,MYANMAR LETTER KA | MYANMAR LETTER LA
်ဓ,40,U+103A U+1013,MYANMAR SIGN ASAT | MYANMAR LETTER DHA
အ္,40,U+1021 U+1039,MYANMAR LETTER A | MYANMAR SIGN VIRAMA
ဇြ,39,U+1007 U+103C,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MEDIAL RA
ေသ,39,U+1031 U+101E,MYANMAR VOWEL SIGN E | MYANMAR LETTER SA
အလ,39,U+1021 U+101C,MYANMAR LETTER A | MYANMAR LETTER LA
ညံ,39,U+100A U+1036,MYANMAR LETTER NNYA | MYANMAR SIGN ANUSVARA
ရံ,39,U+101B U+1036,MYANMAR LETTER RA | MYANMAR SIGN ANUSVARA
ၜး,39,U+105C U+1038,MYANMAR LETTER MON BBA | MYANMAR SIGN VISARGA
ဇာ,39,U+1007 U+102C,MYANMAR LETTER JA | MYANMAR VOWEL SIGN AA
။။,39,U+104B U+104B,MYANMAR SIGN SECTION | MYANMAR SIGN SECTION
ြဟ,38,U+103C U+101F,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER HA
ဲဝ,38,U+1032 U+101D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER WA
အရ,38,U+1021 U+101B,MYANMAR LETTER A | MYANMAR LETTER RA
