file,characters_counted,all_text_length,nga_to_mon_nga_replacements,status
telegram_mot_tip_ebook/msg_20260122_173335_2658.txt,82,90,4,ok
telegram_mot_tip_ebook/msg_20260122_174045_2660.txt,39,44,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_591.txt,90,94,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_396.txt,34,42,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_238.txt,7,7,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_95.txt,94,97,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2880.txt,0,17,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1528.txt,42,55,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_946.txt,12,12,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2694.txt,13,13,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_380.txt,3,3,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_897.txt,0,9,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2692.txt,20,20,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_17.txt,333,370,7,ok
telegram_mot_tip_ebook/msg_20260122_173335_963.txt,54,71,3,ok
telegram_mot_tip_ebook/msg_20260122_174045_2357.txt,32,49,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_918.txt,124,170,2,ok
telegram_mot_tip_ebook/msg_20260122_173335_2352.txt,96,117,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_239.txt,18,21,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_2242.txt,37,38,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_350.txt,26,30,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_139.txt,16,16,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2218.txt,21,21,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_204.txt,11,11,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_408.txt,11,18,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_407.txt,84,95,3,ok
telegram_mot_tip_ebook/msg_20260427_213939_362.txt,16,27,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_206.txt,14,14,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2161.txt,0,37,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_275.txt,30,33,3,ok
telegram_mot_tip_ebook/msg_20260122_173335_61.txt,85,99,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_459.txt,6,6,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_147.txt,273,297,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_1482.txt,25,37,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1018.txt,28,30,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_1147.txt,107,122,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1511.txt,10,15,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1445.txt,81,96,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_509.txt,31,34,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_25.txt,12,12,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_966.txt,7,17,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1054.txt,309,341,11,ok
telegram_mot_tip_ebook/msg_20260122_174045_1495.txt,9,11,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_469.txt,18,18,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_367.txt,113,130,3,ok
telegram_mot_tip_ebook/msg_20260122_174045_586.txt,15,18,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_56.txt,52,99,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_357.txt,35,41,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2084.txt,74,78,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2667.txt,39,42,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_412.txt,13,18,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_465.txt,12,12,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_2.txt,19,19,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_73.txt,51,56,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_68.txt,50,57,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_317.txt,23,25,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1703.txt,13,14,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_213.txt,15,27,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2298.txt,22,24,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_543.txt,265,285,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_251.txt,9,9,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_72.txt,21,21,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_22.txt,50,76,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_176.txt,0,3,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_1648.txt,21,21,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_1366.txt,0,71,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_992.txt,91,107,3,ok
telegram_mot_tip_ebook/msg_20260122_173335_1412.txt,2777,3009,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_96.txt,37,39,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_23.txt,38,64,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_463.txt,15,15,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_26.txt,50,76,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2472.txt,73,88,3,ok
telegram_mot_tip_ebook/msg_20260122_174045_1479.txt,9,11,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_1500.txt,11,14,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_240.txt,65,69,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1035.txt,1221,1407,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_24.txt,10,10,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_503.txt,28,28,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_287.txt,9,9,0,ok
telegram_mot_tip_ebook/msg_20260122_173046_73.txt,51,56,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_498.txt,42,43,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2005.txt,47,64,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_437.txt,143,145,3,ok
telegram_mot_tip_ebook/msg_20260427_213939_392.txt,16,33,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_245.txt,12,12,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_414.txt,20,26,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2669.txt,12,12,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_32.txt,16,16,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2070.txt,15,17,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2405.txt,80,97,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_506.txt,60,66,2,ok
telegram_mot_tip_ebook/msg_20260122_173335_846.txt,237,301,9,ok
telegram_mot_tip_ebook/msg_20260122_174045_2172.txt,13,19,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_410.txt,19,25,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_85.txt,387,437,7,ok
telegram_mot_tip_ebook/msg_20260122_174045_2053.txt,39,42,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_646.txt,23,27,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_579.txt,35,38,2,ok
telegram_mot_tip_ebook/msg_20260122_174338_2214.txt,7,7,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_244.txt,36,37,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2743.txt,141,167,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_529.txt,42,42,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_297.txt,29,32,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2007.txt,0,11,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_131.txt,43,51,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_518.txt,22,22,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_2224.txt,14,14,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_170.txt,60,75,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_1649.txt,0,37,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_584.txt,516,600,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_1450.txt,118,154,4,ok
telegram_mot_tip_ebook/msg_20260122_174338_2177.txt,0,1,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2664.txt,49,55,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_515.txt,28,30,1,ok
telegram_mot_tip_ebook/msg_20260122_174045_2673.txt,37,38,3,ok
telegram_mot_tip_ebook/msg_20260122_174045_532.txt,42,43,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_91.txt,12,12,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2090.txt,16,17,1,ok
telegram_mot_tip_ebook/msg_20260122_173046_213.txt,61,65,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_530.txt,4,4,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_2386.txt,44,63,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_581.txt,145,173,0,ok
telegram_mot_tip_ebook/msg_20260122_173335_426.txt,66,72,2,ok
telegram_mot_tip_ebook/msg_20260122_174045_36.txt,14,14,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_29.txt,7,7,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_201.txt,32,33,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2303.txt,12,12,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_386.txt,15,15,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_2430.txt,46,49,0,ok
telegram_mot_tip_ebook/msg_20260427_213939_117.txt,28,36,1,ok
telegram_mot_tip_ebook/msg_20260122_173335_2345.txt,102,147,1,ok
telegram_mot_tip_ebook/msg_20260122_173046_115.txt,194,208,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_134.txt,48,51,0,ok
telegram_mot_tip_ebook/msg_20260122_174338_944.txt,0,9,0,ok
telegram_mot_tip_ebook/msg_20260122_174045_137.txt,38,38,1,ok
telegram_mot_tip_ebook/msg_20260427_213939_299.txt,27,27,2,ok
telegram_mot_tip_ebook/msg_20260427_213939_198.txt,45,56,0,ok
