trigram,count,codepoints,unicode_names
ွဲမ,58,U+103D U+1032 U+1019,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER MA
ညိက,58,U+100A U+102D U+1000,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN I | MYANMAR LETTER KA
်ကျ,58,U+103A U+1000 U+103B,MYANMAR SIGN ASAT | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
တ်က,58,U+1010 U+103A U+1000,MYANMAR LETTER TA | MYANMAR SIGN ASAT | MYANMAR LETTER KA
ကၠု,58,U+1000 U+1060 U+102F,MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U
ဗီု,57,U+1017 U+102E U+102F,MYANMAR LETTER BA | MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U
လ္ၚ,57,U+101C U+1039 U+105A,MYANMAR LETTER LA | MYANMAR SIGN VIRAMA | MYANMAR LETTER MON NGA
်မိ,57,U+103A U+1019 U+102D,MYANMAR SIGN ASAT | MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
တ်ရ,56,U+1010 U+103A U+101B,MYANMAR LETTER TA | MYANMAR SIGN ASAT | MYANMAR LETTER RA
ဗွဲ,56,U+1017 U+103D U+1032,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AI
ဟ်မ,56,U+101F U+103A U+1019,MYANMAR LETTER HA | MYANMAR SIGN ASAT | MYANMAR LETTER MA
ွံဂ,56,U+103D U+1036 U+1002,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER GA
န်သ,56,U+1014 U+103A U+101E,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER SA
ှ်ေ,56,U+103E U+103A U+1031,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT | MYANMAR VOWEL SIGN E
်အု,56,U+103A U+1021 U+102F,MYANMAR SIGN ASAT | MYANMAR LETTER A | MYANMAR VOWEL SIGN U
ဂကေ,55,U+1002 U+1000 U+1031,MYANMAR LETTER GA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN E
မၠိ,55,U+1019 U+1060 U+102D,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN I
ဝ်ရ,55,U+101D U+103A U+101B,MYANMAR LETTER WA | MYANMAR SIGN ASAT | MYANMAR LETTER RA
ိကျ,55,U+102D U+1000 U+103B,MYANMAR VOWEL SIGN I | MYANMAR LETTER KA | MYANMAR CONSONANT SIGN MEDIAL YA
ိုဲ,55,U+102D U+102F U+1032,MYANMAR VOWEL SIGN I | MYANMAR VOWEL SIGN U | MYANMAR VOWEL SIGN AI
န်ပ,55,U+1014 U+103A U+1015,MYANMAR LETTER NA | MYANMAR SIGN ASAT | MYANMAR LETTER PA
်အာ,55,U+103A U+1021 U+102C,MYANMAR SIGN ASAT | MYANMAR LETTER A | MYANMAR VOWEL SIGN AA
ွံပ,55,U+103D U+1036 U+1015,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA
ကေတ,54,U+1000 U+1031 U+1010,MYANMAR LETTER KA | MYANMAR VOWEL SIGN E | MYANMAR LETTER TA
်ဏံ,54,U+103A U+100F U+1036,MYANMAR SIGN ASAT | MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA
မၞိ,54,U+1019 U+105E U+102D,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN I
ၞိဟ,54,U+105E U+102D U+101F,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN I | MYANMAR LETTER HA
်တြ,54,U+103A U+1010 U+103C,MYANMAR SIGN ASAT | MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL RA
ဂမၠ,53,U+1002 U+1019 U+1060,MYANMAR LETTER GA | MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ွံက,53,U+103D U+1036 U+1000,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER KA
ံမံ,53,U+1036 U+1019 U+1036,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
ဟ်တ,52,U+101F U+103A U+1010,MYANMAR LETTER HA | MYANMAR SIGN ASAT | MYANMAR LETTER TA
်မာ,52,U+103A U+1019 U+102C,MYANMAR SIGN ASAT | MYANMAR LETTER MA | MYANMAR VOWEL SIGN AA
ဏအ်,52,U+100F U+1021 U+103A,MYANMAR LETTER NNA | MYANMAR LETTER A | MYANMAR SIGN ASAT
ုညိ,51,U+102F U+100A U+102D,MYANMAR VOWEL SIGN U | MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN I
်ဗွ,51,U+103A U+1017 U+103D,MYANMAR SIGN ASAT | MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL WA
်မံ,51,U+103A U+1019 U+1036,MYANMAR SIGN ASAT | MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
်ပ္,51,U+103A U+1015 U+1039,MYANMAR SIGN ASAT | MYANMAR LETTER PA | MYANMAR SIGN VIRAMA
ၚ်ဒ,51,U+105A U+103A U+1012,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER DA
ဇၞေ,50,U+1007 U+105E U+1031,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN E
ဝ်က,50,U+101D U+103A U+1000,MYANMAR LETTER WA | MYANMAR SIGN ASAT | MYANMAR LETTER KA
ဵုက,50,U+1035 U+102F U+1000,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U | MYANMAR LETTER KA
ပ်က,50,U+1015 U+103A U+1000,MYANMAR LETTER PA | MYANMAR SIGN ASAT | MYANMAR LETTER KA
ံမ္,49,U+1036 U+1019 U+1039,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MA | MYANMAR SIGN VIRAMA
်ရက,49,U+103A U+101B U+1000,MYANMAR SIGN ASAT | MYANMAR LETTER RA | MYANMAR LETTER KA
္တိ,49,U+1039 U+1010 U+102D,MYANMAR SIGN VIRAMA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN I
တၟိ,49,U+1010 U+105F U+102D,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN I
်ပိ,49,U+103A U+1015 U+102D,MYANMAR SIGN ASAT | MYANMAR LETTER PA | MYANMAR VOWEL SIGN I
ွံလ,49,U+103D U+1036 U+101C,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA
တ်တ,49,U+1010 U+103A U+1010,MYANMAR LETTER TA | MYANMAR SIGN ASAT | MYANMAR LETTER TA
ၚ်ဟ,49,U+105A U+103A U+101F,MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT | MYANMAR LETTER HA
တြေ,49,U+1010 U+103C U+1031,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN E
ြၚ်,48,U+103C U+105A U+103A,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR LETTER MON NGA | MYANMAR SIGN ASAT
်သွ,48,U+103A U+101E U+103D,MYANMAR SIGN ASAT | MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ဵုမ,48,U+1035 U+102F U+1019,MYANMAR VOWEL SIGN E ABOVE | MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
တန်,48,U+1010 U+1014 U+103A,MYANMAR LETTER TA | MYANMAR LETTER NA | MYANMAR SIGN ASAT
