trigram,count,codepoints,unicode_names
ံပု,1,U+1036 U+1015 U+102F,MYANMAR SIGN ANUSVARA | MYANMAR LETTER PA | MYANMAR VOWEL SIGN U
အာ၊,1,U+1021 U+102C U+104A,MYANMAR LETTER A | MYANMAR VOWEL SIGN AA | MYANMAR SIGN LITTLE SECTION
ာ၊ည,1,U+102C U+104A U+100A,MYANMAR VOWEL SIGN AA | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER NNYA
၊ညှ,1,U+104A U+100A U+103E,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER NNYA | MYANMAR CONSONANT SIGN MEDIAL HA
းဂလ,1,U+1038 U+1002 U+101C,MYANMAR SIGN VISARGA | MYANMAR LETTER GA | MYANMAR LETTER LA
းညှ,1,U+1038 U+100A U+103E,MYANMAR SIGN VISARGA | MYANMAR LETTER NNYA | MYANMAR CONSONANT SIGN MEDIAL HA
ူဘ၀,1,U+1030 U+1018 U+1040,MYANMAR VOWEL SIGN UU | MYANMAR LETTER BHA | MYANMAR DIGIT ZERO
ိ။ထ,1,U+102D U+104B U+1011,MYANMAR VOWEL SIGN I | MYANMAR SIGN SECTION | MYANMAR LETTER THA
။ထေ,1,U+104B U+1011 U+1031,MYANMAR SIGN SECTION | MYANMAR LETTER THA | MYANMAR VOWEL SIGN E
ူလည,1,U+1030 U+101C U+100A,MYANMAR VOWEL SIGN UU | MYANMAR LETTER LA | MYANMAR LETTER NNYA
လညှ,1,U+101C U+100A U+103E,MYANMAR LETTER LA | MYANMAR LETTER NNYA | MYANMAR CONSONANT SIGN MEDIAL HA
ာဇက,1,U+102C U+1007 U+1000,MYANMAR VOWEL SIGN AA | MYANMAR LETTER JA | MYANMAR LETTER KA
ဏာအ,1,U+100F U+102C U+1021,MYANMAR LETTER NNA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER A
ရာခ,1,U+101B U+102C U+1001,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER KHA
။ပက,1,U+104B U+1015 U+1000,MYANMAR SIGN SECTION | MYANMAR LETTER PA | MYANMAR LETTER KA
းညံ,1,U+1038 U+100A U+1036,MYANMAR SIGN VISARGA | MYANMAR LETTER NNYA | MYANMAR SIGN ANUSVARA
ံယေ,1,U+1036 U+101A U+1031,MYANMAR SIGN ANUSVARA | MYANMAR LETTER YA | MYANMAR VOWEL SIGN E
်။၄,1,U+103A U+104B U+1044,MYANMAR SIGN ASAT | MYANMAR SIGN SECTION | MYANMAR DIGIT FOUR
၄။မ,1,U+1044 U+104B U+1019,MYANMAR DIGIT FOUR | MYANMAR SIGN SECTION | MYANMAR LETTER MA
ၚဲန,1,U+105A U+1032 U+1014,MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER NA
မး၊,1,U+1019 U+1038 U+104A,MYANMAR LETTER MA | MYANMAR SIGN VISARGA | MYANMAR SIGN LITTLE SECTION
အဲ၊,1,U+1021 U+1032 U+104A,MYANMAR LETTER A | MYANMAR VOWEL SIGN AI | MYANMAR SIGN LITTLE SECTION
ဲ၊တ,1,U+1032 U+104A U+1010,MYANMAR VOWEL SIGN AI | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER TA
အဲဗ,1,U+1021 U+1032 U+1017,MYANMAR LETTER A | MYANMAR VOWEL SIGN AI | MYANMAR LETTER BA
ဲစိ,1,U+1032 U+1005 U+102D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER CA | MYANMAR VOWEL SIGN I
ံလဟ,1,U+1036 U+101C U+101F,MYANMAR SIGN ANUSVARA | MYANMAR LETTER LA | MYANMAR LETTER HA
ု၊ဗ,1,U+102F U+104A U+1017,MYANMAR VOWEL SIGN U | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER BA
ာဲ၊,1,U+102C U+1032 U+104A,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN AI | MYANMAR SIGN LITTLE SECTION
ဲ၊ဗ,1,U+1032 U+104A U+1017,MYANMAR VOWEL SIGN AI | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER BA
ဲလဟ,1,U+1032 U+101C U+101F,MYANMAR VOWEL SIGN AI | MYANMAR LETTER LA | MYANMAR LETTER HA
ူဗတ,1,U+1030 U+1017 U+1010,MYANMAR VOWEL SIGN UU | MYANMAR LETTER BA | MYANMAR LETTER TA
ဗတမ,1,U+1017 U+1010 U+1019,MYANMAR LETTER BA | MYANMAR LETTER TA | MYANMAR LETTER MA
မ်ဏ,1,U+1019 U+103A U+100F,MYANMAR LETTER MA | MYANMAR SIGN ASAT | MYANMAR LETTER NNA
ယျရ,1,U+101A U+103B U+101B,MYANMAR LETTER YA | MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR LETTER RA
ျရေ,1,U+103B U+101B U+1031,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR LETTER RA | MYANMAR VOWEL SIGN E
။ခိ,1,U+104B U+1001 U+102D,MYANMAR SIGN SECTION | MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I
အ်ၚ,1,U+1021 U+103A U+105A,MYANMAR LETTER A | MYANMAR SIGN ASAT | MYANMAR LETTER MON NGA
မးပ,1,U+1019 U+1038 U+1015,MYANMAR LETTER MA | MYANMAR SIGN VISARGA | MYANMAR LETTER PA
ပတေ,1,U+1015 U+1010 U+1031,MYANMAR LETTER PA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
ာံၜ,1,U+102C U+1036 U+105C,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON BBA
ံၜတ,1,U+1036 U+105C U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER MON BBA | MYANMAR LETTER TA
်ပခ,1,U+103A U+1015 U+1001,MYANMAR SIGN ASAT | MYANMAR LETTER PA | MYANMAR LETTER KHA
ပခန,1,U+1015 U+1001 U+1014,MYANMAR LETTER PA | MYANMAR LETTER KHA | MYANMAR LETTER NA
်ပစ,1,U+103A U+1015 U+1005,MYANMAR SIGN ASAT | MYANMAR LETTER PA | MYANMAR LETTER CA
မှအ,1,U+1019 U+103E U+1021,MYANMAR LETTER MA | MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR LETTER A
ှအန,1,U+103E U+1021 U+1014,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR LETTER A | MYANMAR LETTER NA
ျေ၀,1,U+103B U+1031 U+1040,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN E | MYANMAR DIGIT ZERO
ေ၀်,1,U+1031 U+1040 U+103A,MYANMAR VOWEL SIGN E | MYANMAR DIGIT ZERO | MYANMAR SIGN ASAT
၀်မ,1,U+1040 U+103A U+1019,MYANMAR DIGIT ZERO | MYANMAR SIGN ASAT | MYANMAR LETTER MA
ဂိလ,1,U+1002 U+102D U+101C,MYANMAR LETTER GA | MYANMAR VOWEL SIGN I | MYANMAR LETTER LA
်ကဟ,1,U+103A U+1000 U+101F,MYANMAR SIGN ASAT | MYANMAR LETTER KA | MYANMAR LETTER HA
ကဟေ,1,U+1000 U+101F U+1031,MYANMAR LETTER KA | MYANMAR LETTER HA | MYANMAR VOWEL SIGN E
ဟော,1,U+101F U+1031 U+102C,MYANMAR LETTER HA | MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN AA
္ပယ,1,U+1039 U+1015 U+101A,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA | MYANMAR LETTER YA
ပယိ,1,U+1015 U+101A U+102D,MYANMAR LETTER PA | MYANMAR LETTER YA | MYANMAR VOWEL SIGN I
ရ။၅,1,U+101B U+104B U+1045,MYANMAR LETTER RA | MYANMAR SIGN SECTION | MYANMAR DIGIT FIVE
၅။မ,1,U+1045 U+104B U+1019,MYANMAR DIGIT FIVE | MYANMAR SIGN SECTION | MYANMAR LETTER MA
ီုဘ,1,U+102E U+102F U+1018,MYANMAR VOWEL SIGN II | MYANMAR VOWEL SIGN U | MYANMAR LETTER BHA
ုဘ၀,1,U+102F U+1018 U+1040,MYANMAR VOWEL SIGN U | MYANMAR LETTER BHA | MYANMAR DIGIT ZERO
ဂး။,1,U+1002 U+1038 U+104B,MYANMAR LETTER GA | MYANMAR SIGN VISARGA | MYANMAR SIGN SECTION
း။မ,1,U+1038 U+104B U+1019,MYANMAR SIGN VISARGA | MYANMAR SIGN SECTION | MYANMAR LETTER MA
ှ်ၛ,1,U+103E U+103A U+105B,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT | MYANMAR LETTER MON JHA
ံစၟ,1,U+1036 U+1005 U+105F,MYANMAR SIGN ANUSVARA | MYANMAR LETTER CA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ရ။ဘ,1,U+101B U+104B U+1018,MYANMAR LETTER RA | MYANMAR SIGN SECTION | MYANMAR LETTER BHA
းရိ,1,U+1038 U+101B U+102D,MYANMAR SIGN VISARGA | MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
ၞးဒ,1,U+105E U+1038 U+1012,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN VISARGA | MYANMAR LETTER DA
းစဳ,1,U+1038 U+1005 U+1033,MYANMAR SIGN VISARGA | MYANMAR LETTER CA | MYANMAR VOWEL SIGN MON II
စဳရ,1,U+1005 U+1033 U+101B,MYANMAR LETTER CA | MYANMAR VOWEL SIGN MON II | MYANMAR LETTER RA
ဳရေ,1,U+1033 U+101B U+1031,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER RA | MYANMAR VOWEL SIGN E
်။ၛ,1,U+103A U+104B U+105B,MYANMAR SIGN ASAT | MYANMAR SIGN SECTION | MYANMAR LETTER MON JHA
။ၛလ,1,U+104B U+105B U+101C,MYANMAR SIGN SECTION | MYANMAR LETTER MON JHA | MYANMAR LETTER LA
ၞးဟ,1,U+105E U+1038 U+101F,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN VISARGA | MYANMAR LETTER HA
းအေ,1,U+1038 U+1021 U+1031,MYANMAR SIGN VISARGA | MYANMAR LETTER A | MYANMAR VOWEL SIGN E
းပၠ,1,U+1038 U+1015 U+1060,MYANMAR SIGN VISARGA | MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ရ။ဣ,1,U+101B U+104B U+1023,MYANMAR LETTER RA | MYANMAR SIGN SECTION | MYANMAR LETTER I
။ဣဏ,1,U+104B U+1023 U+100F,MYANMAR SIGN SECTION | MYANMAR LETTER I | MYANMAR LETTER NNA
ဣဏအ,1,U+1023 U+100F U+1021,MYANMAR LETTER I | MYANMAR LETTER NNA | MYANMAR LETTER A
။မံ,1,U+104B U+1019 U+1036,MYANMAR SIGN SECTION | MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
။ဇက,1,U+104B U+1007 U+1000,MYANMAR SIGN SECTION | MYANMAR LETTER JA | MYANMAR LETTER KA
မဳန,1,U+1019 U+1033 U+1014,MYANMAR LETTER MA | MYANMAR VOWEL SIGN MON II | MYANMAR LETTER NA
မ်အ,1,U+1019 U+103A U+1021,MYANMAR LETTER MA | MYANMAR SIGN ASAT | MYANMAR LETTER A
အဴဆ,1,U+1021 U+1034 U+1006,MYANMAR LETTER A | MYANMAR VOWEL SIGN MON O | MYANMAR LETTER CHA
ဴဆဂ,1,U+1034 U+1006 U+1002,MYANMAR VOWEL SIGN MON O | MYANMAR LETTER CHA | MYANMAR LETTER GA
းပဍ,1,U+1038 U+1015 U+100D,MYANMAR SIGN VISARGA | MYANMAR LETTER PA | MYANMAR LETTER DDA
အဲလ,1,U+1021 U+1032 U+101C,MYANMAR LETTER A | MYANMAR VOWEL SIGN AI | MYANMAR LETTER LA
ံဏီ,1,U+1036 U+100F U+102E,MYANMAR SIGN ANUSVARA | MYANMAR LETTER NNA | MYANMAR VOWEL SIGN II
ီရမ,1,U+102E U+101B U+1019,MYANMAR VOWEL SIGN II | MYANMAR LETTER RA | MYANMAR LETTER MA
ႅာဂ,1,U+1085 U+102C U+1002,MYANMAR VOWEL SIGN SHAN E ABOVE | MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
ာံစ,1,U+102C U+1036 U+1005,MYANMAR VOWEL SIGN AA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER CA
ယမူ,1,U+101A U+1019 U+1030,MYANMAR LETTER YA | MYANMAR LETTER MA | MYANMAR VOWEL SIGN UU
ူကအ,1,U+1030 U+1000 U+1021,MYANMAR VOWEL SIGN UU | MYANMAR LETTER KA | MYANMAR LETTER A
ဟာအ,1,U+101F U+102C U+1021,MYANMAR LETTER HA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER A
ာအဴ,1,U+102C U+1021 U+1034,MYANMAR VOWEL SIGN AA | MYANMAR LETTER A | MYANMAR VOWEL SIGN MON O
ဴနွ,1,U+1034 U+1014 U+103D,MYANMAR VOWEL SIGN MON O | MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
ာကဂ,1,U+102C U+1000 U+1002,MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA | MYANMAR LETTER GA
ကဂွ,1,U+1000 U+1002 U+103D,MYANMAR LETTER KA | MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MEDIAL WA
ရ်ဌ,1,U+101B U+103A U+100C,MYANMAR LETTER RA | MYANMAR SIGN ASAT | MYANMAR LETTER TTHA
ဌာရ,1,U+100C U+102C U+101B,MYANMAR LETTER TTHA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
ဒးန,1,U+1012 U+1038 U+1014,MYANMAR LETTER DA | MYANMAR SIGN VISARGA | MYANMAR LETTER NA
ာဲ။,1,U+102C U+1032 U+104B,MYANMAR VOWEL SIGN AA | MYANMAR VOWEL SIGN AI | MYANMAR SIGN SECTION
ဲ။ဂ,1,U+1032 U+104B U+1002,MYANMAR VOWEL SIGN AI | MYANMAR SIGN SECTION | MYANMAR LETTER GA
ီပိ,1,U+102E U+1015 U+102D,MYANMAR VOWEL SIGN II | MYANMAR LETTER PA | MYANMAR VOWEL SIGN I
ကု၊,1,U+1000 U+102F U+104A,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U | MYANMAR SIGN LITTLE SECTION
ုရဇ,1,U+102F U+101B U+1007,MYANMAR VOWEL SIGN U | MYANMAR LETTER RA | MYANMAR LETTER JA
ရဇက,1,U+101B U+1007 U+1000,MYANMAR LETTER RA | MYANMAR LETTER JA | MYANMAR LETTER KA
တီ၊,1,U+1010 U+102E U+104A,MYANMAR LETTER TA | MYANMAR VOWEL SIGN II | MYANMAR SIGN LITTLE SECTION
ီ၊ဟ,1,U+102E U+104A U+101F,MYANMAR VOWEL SIGN II | MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER HA
ါ်တ,1,U+102B U+103A U+1010,MYANMAR VOWEL SIGN TALL AA | MYANMAR SIGN ASAT | MYANMAR LETTER TA
ဂဗည,1,U+1002 U+1017 U+100A,MYANMAR LETTER GA | MYANMAR LETTER BA | MYANMAR LETTER NNYA
ဗညး,1,U+1017 U+100A U+1038,MYANMAR LETTER BA | MYANMAR LETTER NNYA | MYANMAR SIGN VISARGA
တီဒ,1,U+1010 U+102E U+1012,MYANMAR LETTER TA | MYANMAR VOWEL SIGN II | MYANMAR LETTER DA
ီဒး,1,U+102E U+1012 U+1038,MYANMAR VOWEL SIGN II | MYANMAR LETTER DA | MYANMAR SIGN VISARGA
ဲရဒ,1,U+1032 U+101B U+1012,MYANMAR VOWEL SIGN AI | MYANMAR LETTER RA | MYANMAR LETTER DA
ဝ်ဓ,1,U+101D U+103A U+1013,MYANMAR LETTER WA | MYANMAR SIGN ASAT | MYANMAR LETTER DHA
၊ပၞ,1,U+104A U+1015 U+105E,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL NA
တပ်,1,U+1010 U+1015 U+103A,MYANMAR LETTER TA | MYANMAR LETTER PA | MYANMAR SIGN ASAT
၊ဇု,1,U+104A U+1007 U+102F,MYANMAR SIGN LITTLE SECTION | MYANMAR LETTER JA | MYANMAR VOWEL SIGN U
းကရ,1,U+1038 U+1000 U+101B,MYANMAR SIGN VISARGA | MYANMAR LETTER KA | MYANMAR LETTER RA
။စွ,1,U+104B U+1005 U+103D,MYANMAR SIGN SECTION | MYANMAR LETTER CA | MYANMAR CONSONANT SIGN MEDIAL WA
မးည,1,U+1019 U+1038 U+100A,MYANMAR LETTER MA | MYANMAR SIGN VISARGA | MYANMAR LETTER NNYA
ီညိ,1,U+102E U+100A U+102D,MYANMAR VOWEL SIGN II | MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN I
။ဟီ,1,U+104B U+101F U+102E,MYANMAR SIGN SECTION | MYANMAR LETTER HA | MYANMAR VOWEL SIGN II
။ဗီ,1,U+104B U+1017 U+102E,MYANMAR SIGN SECTION | MYANMAR LETTER BA | MYANMAR VOWEL SIGN II
းညာ,1,U+1038 U+100A U+102C,MYANMAR SIGN VISARGA | MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA
ှ်ဇ,1,U+103E U+103A U+1007,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT | MYANMAR LETTER JA
ကုဗ,1,U+1000 U+102F U+1017,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U | MYANMAR LETTER BA
ုဗက,1,U+102F U+1017 U+1000,MYANMAR VOWEL SIGN U | MYANMAR LETTER BA | MYANMAR LETTER KA
်စၞ,1,U+103A U+1005 U+105E,MYANMAR SIGN ASAT | MYANMAR LETTER CA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ၞးည,1,U+105E U+1038 U+100A,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN VISARGA | MYANMAR LETTER NNYA
ဍဲဇ,1,U+100D U+1032 U+1007,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER JA
ကုဓ,1,U+1000 U+102F U+1013,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U | MYANMAR LETTER DHA
ုဓရ,1,U+102F U+1013 U+101B,MYANMAR VOWEL SIGN U | MYANMAR LETTER DHA | MYANMAR LETTER RA
းမု,1,U+1038 U+1019 U+102F,MYANMAR SIGN VISARGA | MYANMAR LETTER MA | MYANMAR VOWEL SIGN U
ကုယ,1,U+1000 U+102F U+101A,MYANMAR LETTER KA | MYANMAR VOWEL SIGN U | MYANMAR LETTER YA
ုယး,1,U+102F U+101A U+1038,MYANMAR VOWEL SIGN U | MYANMAR LETTER YA | MYANMAR SIGN VISARGA
ယးတ,1,U+101A U+1038 U+1010,MYANMAR LETTER YA | MYANMAR SIGN VISARGA | MYANMAR LETTER TA
းတၟ,1,U+1038 U+1010 U+105F,MYANMAR SIGN VISARGA | MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ၟးက,1,U+105F U+1038 U+1000,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN VISARGA | MYANMAR LETTER KA
လအီ,1,U+101C U+1021 U+102E,MYANMAR LETTER LA | MYANMAR LETTER A | MYANMAR VOWEL SIGN II
အီဇ,1,U+1021 U+102E U+1007,MYANMAR LETTER A | MYANMAR VOWEL SIGN II | MYANMAR LETTER JA
ီဇက,1,U+102E U+1007 U+1000,MYANMAR VOWEL SIGN II | MYANMAR LETTER JA | MYANMAR LETTER KA
်လယ,1,U+103A U+101C U+101A,MYANMAR SIGN ASAT | MYANMAR LETTER LA | MYANMAR LETTER YA
လယျ,1,U+101C U+101A U+103B,MYANMAR LETTER LA | MYANMAR LETTER YA | MYANMAR CONSONANT SIGN MEDIAL YA
။ဂၠ,1,U+104B U+1002 U+1060,MYANMAR SIGN SECTION | MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA
သာယ,1,U+101E U+102C U+101A,MYANMAR LETTER SA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER YA
ယာက,1,U+101A U+102C U+1000,MYANMAR LETTER YA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER KA
်လဟ,1,U+103A U+101C U+101F,MYANMAR SIGN ASAT | MYANMAR LETTER LA | MYANMAR LETTER HA
လဟီ,1,U+101C U+101F U+102E,MYANMAR LETTER LA | MYANMAR LETTER HA | MYANMAR VOWEL SIGN II
တွာ,1,U+1010 U+103D U+102C,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN AA
ရာအ,1,U+101B U+102C U+1021,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AA | MYANMAR LETTER A
ာအံ,1,U+102C U+1021 U+1036,MYANMAR VOWEL SIGN AA | MYANMAR LETTER A | MYANMAR SIGN ANUSVARA
ၞးမ,1,U+105E U+1038 U+1019,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN VISARGA | MYANMAR LETTER MA
်ဇဝ,1,U+103A U+1007 U+101D,MYANMAR SIGN ASAT | MYANMAR LETTER JA | MYANMAR LETTER WA
ဇဝန,1,U+1007 U+101D U+1014,MYANMAR LETTER JA | MYANMAR LETTER WA | MYANMAR LETTER NA
ဝနခ,1,U+101D U+1014 U+1001,MYANMAR LETTER WA | MYANMAR LETTER NA | MYANMAR LETTER KHA
်၁၅,1,U+103A U+1041 U+1045,MYANMAR SIGN ASAT | MYANMAR DIGIT ONE | MYANMAR DIGIT FIVE
၁၅၁,1,U+1041 U+1045 U+1041,MYANMAR DIGIT ONE | MYANMAR DIGIT FIVE | MYANMAR DIGIT ONE
၅၁၂,1,U+1045 U+1041 U+1042,MYANMAR DIGIT FIVE | MYANMAR DIGIT ONE | MYANMAR DIGIT TWO
၀၂၅,1,U+1040 U+1042 U+1045,MYANMAR DIGIT ZERO | MYANMAR DIGIT TWO | MYANMAR DIGIT FIVE
ါကိ,1,U+102B U+1000 U+102D,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER KA | MYANMAR VOWEL SIGN I
ာလဴ,1,U+102C U+101C U+1034,MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA | MYANMAR VOWEL SIGN MON O
်၅မ,1,U+103A U+1045 U+1019,MYANMAR SIGN ASAT | MYANMAR DIGIT FIVE | MYANMAR LETTER MA
၅မိ,1,U+1045 U+1019 U+102D,MYANMAR DIGIT FIVE | MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
ူဗု,1,U+1030 U+1017 U+102F,MYANMAR VOWEL SIGN UU | MYANMAR LETTER BA | MYANMAR VOWEL SIGN U
ၟုလ,1,U+105F U+102F U+101C,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN U | MYANMAR LETTER LA
ႅနီ,1,U+1085 U+1014 U+102E,MYANMAR VOWEL SIGN SHAN E ABOVE | MYANMAR LETTER NA | MYANMAR VOWEL SIGN II
နီမ,1,U+1014 U+102E U+1019,MYANMAR LETTER NA | MYANMAR VOWEL SIGN II | MYANMAR LETTER MA
ံရအ,1,U+1036 U+101B U+1021,MYANMAR SIGN ANUSVARA | MYANMAR LETTER RA | MYANMAR LETTER A
ကမန,1,U+1000 U+1019 U+1014,MYANMAR LETTER KA | MYANMAR LETTER MA | MYANMAR LETTER NA
ဲဖိ,1,U+1032 U+1016 U+102D,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PHA | MYANMAR VOWEL SIGN I
ဝါဂ,1,U+101D U+102B U+1002,MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER GA
သတေ,1,U+101E U+1010 U+1031,MYANMAR LETTER SA | MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
ကးတ,1,U+1000 U+1038 U+1010,MYANMAR LETTER KA | MYANMAR SIGN VISARGA | MYANMAR LETTER TA
်ဓလ,1,U+103A U+1013 U+101C,MYANMAR SIGN ASAT | MYANMAR LETTER DHA | MYANMAR LETTER LA
ဓလီ,1,U+1013 U+101C U+102E,MYANMAR LETTER DHA | MYANMAR LETTER LA | MYANMAR VOWEL SIGN II
ဴက္,1,U+1034 U+1000 U+1039,MYANMAR VOWEL SIGN MON O | MYANMAR LETTER KA | MYANMAR SIGN VIRAMA
ၠုဓ,1,U+1060 U+102F U+1013,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U | MYANMAR LETTER DHA
ုဓီ,1,U+102F U+1013 U+102E,MYANMAR VOWEL SIGN U | MYANMAR LETTER DHA | MYANMAR VOWEL SIGN II
ုၜိ,1,U+102F U+105C U+102D,MYANMAR VOWEL SIGN U | MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN I
ၞံဆ,1,U+105E U+1036 U+1006,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR SIGN ANUSVARA | MYANMAR LETTER CHA
ံဆု,1,U+1036 U+1006 U+102F,MYANMAR SIGN ANUSVARA | MYANMAR LETTER CHA | MYANMAR VOWEL SIGN U
ပၠး,1,U+1015 U+1060 U+1038,MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR SIGN VISARGA
ၠးထ,1,U+1060 U+1038 U+1011,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR SIGN VISARGA | MYANMAR LETTER THA
းထေ,1,U+1038 U+1011 U+1031,MYANMAR SIGN VISARGA | MYANMAR LETTER THA | MYANMAR VOWEL SIGN E
ဲသရ,1,U+1032 U+101E U+101B,MYANMAR VOWEL SIGN AI | MYANMAR LETTER SA | MYANMAR LETTER RA
သရဲ,1,U+101E U+101B U+1032,MYANMAR LETTER SA | MYANMAR LETTER RA | MYANMAR VOWEL SIGN AI
ရဲစ,1,U+101B U+1032 U+1005,MYANMAR LETTER RA | MYANMAR VOWEL SIGN AI | MYANMAR LETTER CA
စမံ,1,U+1005 U+1019 U+1036,MYANMAR LETTER CA | MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
သၟဟ,1,U+101E U+105F U+101F,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR LETTER HA
ၟဟ်,1,U+105F U+101F U+103A,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR LETTER HA | MYANMAR SIGN ASAT
ြဴတ,1,U+103C U+1034 U+1010,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN MON O | MYANMAR LETTER TA
ှ်ၜ,1,U+103E U+103A U+105C,MYANMAR CONSONANT SIGN MEDIAL HA | MYANMAR SIGN ASAT | MYANMAR LETTER MON BBA
ံဒတ,1,U+1036 U+1012 U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA | MYANMAR LETTER TA
ြိပ,1,U+103C U+102D U+1015,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN I | MYANMAR LETTER PA
ႅာဗ,1,U+1085 U+102C U+1017,MYANMAR VOWEL SIGN SHAN E ABOVE | MYANMAR VOWEL SIGN AA | MYANMAR LETTER BA
ညာ၁,1,U+100A U+102C U+1041,MYANMAR LETTER NNYA | MYANMAR VOWEL SIGN AA | MYANMAR DIGIT ONE
ာ၁၉,1,U+102C U+1041 U+1049,MYANMAR VOWEL SIGN AA | MYANMAR DIGIT ONE | MYANMAR DIGIT NINE
၁၉၅,1,U+1041 U+1049 U+1045,MYANMAR DIGIT ONE | MYANMAR DIGIT NINE | MYANMAR DIGIT FIVE
၉၅၄,1,U+1049 U+1045 U+1044,MYANMAR DIGIT NINE | MYANMAR DIGIT FIVE | MYANMAR DIGIT FOUR
၅၄သ,1,U+1045 U+1044 U+101E,MYANMAR DIGIT FIVE | MYANMAR DIGIT FOUR | MYANMAR LETTER SA
