bigram,count,codepoints,unicode_names
ပရ,30571,U+1015 U+101B,MYANMAR LETTER PA | MYANMAR LETTER RA
ရိ,30254,U+101B U+102D,MYANMAR LETTER RA | MYANMAR VOWEL SIGN I
်ထ,28743,U+103A U+1011,MYANMAR SIGN ASAT | MYANMAR LETTER THA
ုသ,28654,U+102F U+101E,MYANMAR VOWEL SIGN U | MYANMAR LETTER SA
ဂၠ,28414,U+1002 U+1060,MYANMAR LETTER GA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ုရ,27963,U+102F U+101B,MYANMAR VOWEL SIGN U | MYANMAR LETTER RA
ၠု,27715,U+1060 U+102F,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR VOWEL SIGN U
ဇၞ,27236,U+1007 U+105E,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA
ရဴ,27068,U+101B U+1034,MYANMAR LETTER RA | MYANMAR VOWEL SIGN MON O
ုမ,27067,U+102F U+1019,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
ကီ,26761,U+1000 U+102E,MYANMAR LETTER KA | MYANMAR VOWEL SIGN II
မိ,26522,U+1019 U+102D,MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
ုလ,26488,U+102F U+101C,MYANMAR VOWEL SIGN U | MYANMAR LETTER LA
ေါ,26087,U+1031 U+102B,MYANMAR VOWEL SIGN E | MYANMAR VOWEL SIGN TALL AA
တံ,26042,U+1010 U+1036,MYANMAR LETTER TA | MYANMAR SIGN ANUSVARA
ံတ,25836,U+1036 U+1010,MYANMAR SIGN ANUSVARA | MYANMAR LETTER TA
ဲအ,25736,U+1032 U+1021,MYANMAR VOWEL SIGN AI | MYANMAR LETTER A
ဲဂ,25669,U+1032 U+1002,MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA
္ပ,25663,U+1039 U+1015,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA
ကလ,25489,U+1000 U+101C,MYANMAR LETTER KA | MYANMAR LETTER LA
ာဂ,25272,U+102C U+1002,MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
ုဂ,24994,U+102F U+1002,MYANMAR VOWEL SIGN U | MYANMAR LETTER GA
မ်,24904,U+1019 U+103A,MYANMAR LETTER MA | MYANMAR SIGN ASAT
သွ,24795,U+101E U+103D,MYANMAR LETTER SA | MYANMAR CONSONANT SIGN MEDIAL WA
ဝါ,24559,U+101D U+102B,MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA
တေ,24541,U+1010 U+1031,MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
ာရ,24512,U+102C U+101B,MYANMAR VOWEL SIGN AA | MYANMAR LETTER RA
ြဴ,24401,U+103C U+1034,MYANMAR CONSONANT SIGN MEDIAL RA | MYANMAR VOWEL SIGN MON O
ဲပ,24323,U+1032 U+1015,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA
းက,24295,U+1038 U+1000,MYANMAR SIGN VISARGA | MYANMAR LETTER KA
တြ,24201,U+1010 U+103C,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MEDIAL RA
ဲတ,24085,U+1032 U+1010,MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA
ွိ,23951,U+103D U+102D,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN I
တဴ,23876,U+1010 U+1034,MYANMAR LETTER TA | MYANMAR VOWEL SIGN MON O
နွ,23511,U+1014 U+103D,MYANMAR LETTER NA | MYANMAR CONSONANT SIGN MEDIAL WA
်။,23498,U+103A U+104B,MYANMAR SIGN ASAT | MYANMAR SIGN SECTION
ၞု,23477,U+105E U+102F,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN U
ၟံ,23144,U+105F U+1036,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN ANUSVARA
ုအ,23138,U+102F U+1021,MYANMAR VOWEL SIGN U | MYANMAR LETTER A
ဗြ,23011,U+1017 U+103C,MYANMAR LETTER BA | MYANMAR CONSONANT SIGN MEDIAL RA
္က,23008,U+1039 U+1000,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA
ိဟ,22895,U+102D U+101F,MYANMAR VOWEL SIGN I | MYANMAR LETTER HA
ဂိ,22806,U+1002 U+102D,MYANMAR LETTER GA | MYANMAR VOWEL SIGN I
းတ,22616,U+1038 U+1010,MYANMAR SIGN VISARGA | MYANMAR LETTER TA
လ္,22513,U+101C U+1039,MYANMAR LETTER LA | MYANMAR SIGN VIRAMA
