bigram,count,codepoints,unicode_names
ာဂ,34373,U+102C U+1002,MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
ံဒ,33623,U+1036 U+1012,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA
ိဟ,33021,U+102D U+101F,MYANMAR VOWEL SIGN I | MYANMAR LETTER HA
တၠ,32848,U+1010 U+1060,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL LA
ရဴ,32345,U+101B U+1034,MYANMAR LETTER RA | MYANMAR VOWEL SIGN MON O
ဒု,32092,U+1012 U+102F,MYANMAR LETTER DA | MYANMAR VOWEL SIGN U
ဒေ,31468,U+1012 U+1031,MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
ံရ,31285,U+1036 U+101B,MYANMAR SIGN ANUSVARA | MYANMAR LETTER RA
လု,31049,U+101C U+102F,MYANMAR LETTER LA | MYANMAR VOWEL SIGN U
ခိ,30993,U+1001 U+102D,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN I
အရ,30907,U+1021 U+101B,MYANMAR LETTER A | MYANMAR LETTER RA
်ဏ,30877,U+103A U+100F,MYANMAR SIGN ASAT | MYANMAR LETTER NNA
ကလ,30857,U+1000 U+101C,MYANMAR LETTER KA | MYANMAR LETTER LA
မ်,30845,U+1019 U+103A,MYANMAR LETTER MA | MYANMAR SIGN ASAT
ဂိ,30723,U+1002 U+102D,MYANMAR LETTER GA | MYANMAR VOWEL SIGN I
်။,30668,U+103A U+104B,MYANMAR SIGN ASAT | MYANMAR SIGN SECTION
ချ,30592,U+1001 U+103B,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
ဝါ,30512,U+101D U+102B,MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA
်ဖ,30207,U+103A U+1016,MYANMAR SIGN ASAT | MYANMAR LETTER PHA
သေ,30001,U+101E U+1031,MYANMAR LETTER SA | MYANMAR VOWEL SIGN E
ၞိ,29935,U+105E U+102D,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN I
တၟ,29838,U+1010 U+105F,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL MA
