file,characters_counted,all_text_length,status
monnews/monnews_20260120_223250_422.txt,1685,1832,ok
monnews/monnews_20260120_223250_1284.txt,1445,1569,ok
monnews/monnews_20260120_223250_2433.txt,2128,2384,ok
monnews/monnews_20260120_223250_453.txt,6077,7079,ok
monnews/monnews_20260120_223250_691.txt,1807,2176,ok
monnews/monnews_20260120_223250_2275.txt,1983,2226,ok
monnews/monnews_20260120_223250_926.txt,1253,1393,ok
monnews/monnews_20260120_223250_892.txt,7134,7906,ok
monnews/monnews_20260120_223250_2545.txt,1838,2052,ok
monnews/monnews_20260120_223250_3019.txt,1923,2098,ok
monnews/monnews_20260120_223250_2208.txt,2896,3347,ok
monnews/monnews_20260120_223250_1743.txt,1949,2168,ok
monnews/monnews_20260120_223250_2106.txt,1539,1708,ok
monnews/monnews_20260120_223250_649.txt,1518,1678,ok
monnews/monnews_20260120_223250_2378.txt,2370,2616,ok
monnews/monnews_20260120_223250_1668.txt,2837,3193,ok
monnews/monnews_20260120_223250_411.txt,293,335,ok
monnews/monnews_20260120_223250_3221.txt,2035,2265,ok
monnews/monnews_20260120_223250_3003.txt,1198,1308,ok
monnews/monnews_20260120_223250_554.txt,1696,1920,ok
monnews/monnews_20260120_223250_1756.txt,2010,2180,ok
monnews/monnews_20260120_223250_717.txt,6900,7632,ok
monnews/monnews_20260120_223250_758.txt,6680,7368,ok
monnews/monnews_20260120_223250_2475.txt,1893,2064,ok
monnews/monnews_20260120_223250_2969.txt,1471,1606,ok
monnews/monnews_20260120_223250_556.txt,45,114,ok
monnews/monnews_20260120_223250_2925.txt,1585,1742,ok
monnews/monnews_20260120_223250_1622.txt,1788,1984,ok
monnews/monnews_20260120_223250_300.txt,1668,1788,ok
monnews/monnews_20260120_223250_1742.txt,2377,2625,ok
monnews/monnews_20260120_223250_3341.txt,1517,1682,ok
monnews/monnews_20260120_223250_1519.txt,1434,1593,ok
monnews/monnews_20260120_223250_1031.txt,9138,10260,ok
monnews/monnews_20260120_223250_2722.txt,1967,2229,ok
monnews/monnews_20260120_223250_2931.txt,2232,2518,ok
monnews/monnews_20260120_223250_3339.txt,1593,1743,ok
monnews/monnews_20260120_223250_381.txt,1960,2162,ok
monnews/monnews_20260120_223250_2000.txt,2689,2959,ok
monnews/monnews_20260120_223250_2914.txt,2922,3158,ok
monnews/monnews_20260120_223250_1172.txt,2154,2430,ok
monnews/monnews_20260120_223250_3327.txt,1718,1910,ok
monnews/monnews_20260120_223250_797.txt,8415,9153,ok
monnews/monnews_20260120_223250_2797.txt,2115,2315,ok
monnews/monnews_20260120_223250_2092.txt,2177,2412,ok
monnews/monnews_20260120_223250_917.txt,6283,7051,ok
monnews/monnews_20260120_223250_2531.txt,2069,2296,ok
monnews/monnews_20260120_223250_3479.txt,4225,4505,ok
monnews/monnews_20260120_223250_1821.txt,2479,2664,ok
monnews/monnews_20260120_223250_404.txt,1749,1903,ok
monnews/monnews_20260120_223250_1334.txt,33,63,ok
monnews/monnews_20260120_223250_1116.txt,1045,1198,ok
monnews/monnews_20260120_223250_3107.txt,1492,1641,ok
monnews/monnews_20260120_223250_2933.txt,2616,2889,ok
monnews/monnews_20260120_223250_607.txt,1996,2408,ok
monnews/monnews_20260120_223250_1624.txt,2329,2545,ok
monnews/monnews_20260120_223250_3352.txt,2136,2356,ok
monnews/monnews_20260120_223250_345.txt,1868,2021,ok
monnews/monnews_20260120_223250_1485.txt,1787,1938,ok
monnews/monnews_20260120_223250_43.txt,1830,2102,ok
monnews/monnews_20260120_223250_1778.txt,1941,2131,ok
monnews/monnews_20260120_223250_1195.txt,2562,2834,ok
monnews/monnews_20260120_223250_2310.txt,2303,2502,ok
monnews/monnews_20260120_223250_581.txt,6717,7170,ok
monnews/monnews_20260120_223250_3535.txt,1795,1982,ok
monnews/monnews_20260120_223250_2930.txt,3973,4377,ok
monnews/monnews_20260120_223250_2680.txt,2430,2718,ok
monnews/monnews_20260120_223250_3164.txt,2313,2486,ok
monnews/monnews_20260120_223250_2430.txt,1833,2069,ok
monnews/monnews_20260120_223250_1108.txt,1367,1497,ok
monnews/monnews_20260120_223250_2419.txt,1883,2073,ok
monnews/monnews_20260120_223250_377.txt,4903,5283,ok
monnews/monnews_20260120_223250_3452.txt,4505,4991,ok
monnews/monnews_20260120_223250_93.txt,1669,1885,ok
monnews/monnews_20260120_223250_1406.txt,2853,3225,ok
monnews/monnews_20260120_223250_315.txt,3938,4433,ok
monnews/monnews_20260120_223250_18.txt,2039,2246,ok
monnews/monnews_20260120_223250_824.txt,6974,7788,ok
monnews/monnews_20260120_223250_3012.txt,2417,2687,ok
monnews/monnews_20260120_223250_73.txt,1875,1995,ok
monnews/monnews_20260120_223250_1875.txt,3486,3864,ok
monnews/monnews_20260120_223250_304.txt,1653,1802,ok
monnews/monnews_20260120_223250_2406.txt,1695,1962,ok
monnews/monnews_20260120_223250_1405.txt,6787,7820,ok
monnews/monnews_20260120_223250_3223.txt,3864,4317,ok
monnews/monnews_20260120_223250_3492.txt,1601,1751,ok
