bigram,count,codepoints,unicode_names
ဇၞ,47994,U+1007 U+105E,MYANMAR LETTER JA | MYANMAR CONSONANT SIGN MON MEDIAL NA
္ပ,47774,U+1039 U+1015,MYANMAR SIGN VIRAMA | MYANMAR LETTER PA
ိဟ,47625,U+102D U+101F,MYANMAR VOWEL SIGN I | MYANMAR LETTER HA
en,47262,U+0065 U+006E,LATIN SMALL LETTER E | LATIN SMALL LETTER N
ုသ,47042,U+102F U+101E,MYANMAR VOWEL SIGN U | MYANMAR LETTER SA
at,46876,U+0061 U+0074,LATIN SMALL LETTER A | LATIN SMALL LETTER T
ပတ,46765,U+1015 U+1010,MYANMAR LETTER PA | MYANMAR LETTER TA
ၟံ,46048,U+105F U+1036,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR SIGN ANUSVARA
ဲဂ,45559,U+1032 U+1002,MYANMAR VOWEL SIGN AI | MYANMAR LETTER GA
ဲပ,45519,U+1032 U+1015,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA
ၟာ,45282,U+105F U+102C,MYANMAR CONSONANT SIGN MON MEDIAL MA | MYANMAR VOWEL SIGN AA
ၞိ,45074,U+105E U+102D,MYANMAR CONSONANT SIGN MON MEDIAL NA | MYANMAR VOWEL SIGN I
်),44928,U+103A U+0029,MYANMAR SIGN ASAT | RIGHT PARENTHESIS
ုမ,44546,U+102F U+1019,MYANMAR VOWEL SIGN U | MYANMAR LETTER MA
ar,44399,U+0061 U+0072,LATIN SMALL LETTER A | LATIN SMALL LETTER R
ဲအ,44184,U+1032 U+1021,MYANMAR VOWEL SIGN AI | MYANMAR LETTER A
းတ,44108,U+1038 U+1010,MYANMAR SIGN VISARGA | MYANMAR LETTER TA
းက,43774,U+1038 U+1000,MYANMAR SIGN VISARGA | MYANMAR LETTER KA
ံဒ,43742,U+1036 U+1012,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA
မံ,43378,U+1019 U+1036,MYANMAR LETTER MA | MYANMAR SIGN ANUSVARA
အရ,43238,U+1021 U+101B,MYANMAR LETTER A | MYANMAR LETTER RA
အခ,42976,U+1021 U+1001,MYANMAR LETTER A | MYANMAR LETTER KHA
es,42880,U+0065 U+0073,LATIN SMALL LETTER E | LATIN SMALL LETTER S
te,42700,U+0074 U+0065,LATIN SMALL LETTER T | LATIN SMALL LETTER E
ဟီ,42257,U+101F U+102E,MYANMAR LETTER HA | MYANMAR VOWEL SIGN II
မိ,42013,U+1019 U+102D,MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
မ်,41439,U+1019 U+103A,MYANMAR LETTER MA | MYANMAR SIGN ASAT
သေ,41140,U+101E U+1031,MYANMAR LETTER SA | MYANMAR VOWEL SIGN E
မဳ,41065,U+1019 U+1033,MYANMAR LETTER MA | MYANMAR VOWEL SIGN MON II
st,40782,U+0073 U+0074,LATIN SMALL LETTER S | LATIN SMALL LETTER T
ကူ,40773,U+1000 U+1030,MYANMAR LETTER KA | MYANMAR VOWEL SIGN UU
ဒု,40760,U+1012 U+102F,MYANMAR LETTER DA | MYANMAR VOWEL SIGN U
ွက,40501,U+103D U+1000,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA
ချ,40369,U+1001 U+103B,MYANMAR LETTER KHA | MYANMAR CONSONANT SIGN MEDIAL YA
v),40216,U+0076 U+0029,LATIN SMALL LETTER V | RIGHT PARENTHESIS
ကလ,40198,U+1000 U+101C,MYANMAR LETTER KA | MYANMAR LETTER LA
al,40151,U+0061 U+006C,LATIN SMALL LETTER A | LATIN SMALL LETTER L
ခမ,39917,U+1001 U+1019,MYANMAR LETTER KHA | MYANMAR LETTER MA
ဒေ,39894,U+1012 U+1031,MYANMAR LETTER DA | MYANMAR VOWEL SIGN E
ed,39646,U+0065 U+0064,LATIN SMALL LETTER E | LATIN SMALL LETTER D
