trigram,count,codepoints,unicode_names
ီတူ,1,U+102E U+1010 U+1030,MYANMAR VOWEL SIGN II | MYANMAR LETTER TA | MYANMAR VOWEL SIGN UU
်ပပ,1,U+103A U+1015 U+1015,MYANMAR SIGN ASAT | MYANMAR LETTER PA | MYANMAR LETTER PA
ေသၝ,1,U+1031 U+101E U+105D,MYANMAR VOWEL SIGN E | MYANMAR LETTER SA | MYANMAR LETTER MON BBE
သၝေ,1,U+101E U+105D U+1031,MYANMAR LETTER SA | MYANMAR LETTER MON BBE | MYANMAR VOWEL SIGN E
ာပဠ,1,U+102C U+1015 U+1020,MYANMAR VOWEL SIGN AA | MYANMAR LETTER PA | MYANMAR LETTER LLA
ဲဗလ,1,U+1032 U+1017 U+101C,MYANMAR VOWEL SIGN AI | MYANMAR LETTER BA | MYANMAR LETTER LA
လးၜ,1,U+101C U+1038 U+105C,MYANMAR LETTER LA | MYANMAR SIGN VISARGA | MYANMAR LETTER MON BBA
းၜဳ,1,U+1038 U+105C U+1033,MYANMAR SIGN VISARGA | MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN MON II
ၜဳဗ,1,U+105C U+1033 U+1017,MYANMAR LETTER MON BBA | MYANMAR VOWEL SIGN MON II | MYANMAR LETTER BA
ဳဗၚ,1,U+1033 U+1017 U+105A,MYANMAR VOWEL SIGN MON II | MYANMAR LETTER BA | MYANMAR LETTER MON NGA
ဲပပ,1,U+1032 U+1015 U+1015,MYANMAR VOWEL SIGN AI | MYANMAR LETTER PA | MYANMAR LETTER PA
သတန,1,U+101E U+1010 U+1014,MYANMAR LETTER SA | MYANMAR LETTER TA | MYANMAR LETTER NA
တနၚ,1,U+1010 U+1014 U+105A,MYANMAR LETTER TA | MYANMAR LETTER NA | MYANMAR LETTER MON NGA
ဲါပ,1,U+1032 U+102B U+1015,MYANMAR VOWEL SIGN AI | MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER PA
ါပြ,1,U+102B U+1015 U+103C,MYANMAR VOWEL SIGN TALL AA | MYANMAR LETTER PA | MYANMAR CONSONANT SIGN MEDIAL RA
ဇးဗ,1,U+1007 U+1038 U+1017,MYANMAR LETTER JA | MYANMAR SIGN VISARGA | MYANMAR LETTER BA
ၠဝါ,1,U+1060 U+101D U+102B,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA
