bigram,count,codepoints,unicode_names
ဍိ,171,U+100D U+102D,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN I
ဲလ,170,U+1032 U+101C,MYANMAR VOWEL SIGN AI | MYANMAR LETTER LA
ွက,169,U+103D U+1000,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR LETTER KA
ဲဒ,168,U+1032 U+1012,MYANMAR VOWEL SIGN AI | MYANMAR LETTER DA
ခေ,168,U+1001 U+1031,MYANMAR LETTER KHA | MYANMAR VOWEL SIGN E
အိ,164,U+1021 U+102D,MYANMAR LETTER A | MYANMAR VOWEL SIGN I
ဒု,162,U+1012 U+102F,MYANMAR LETTER DA | MYANMAR VOWEL SIGN U
ာလ,159,U+102C U+101C,MYANMAR VOWEL SIGN AA | MYANMAR LETTER LA
ပေ,159,U+1015 U+1031,MYANMAR LETTER PA | MYANMAR VOWEL SIGN E
ဗီ,158,U+1017 U+102E,MYANMAR LETTER BA | MYANMAR VOWEL SIGN II
ဲတ,158,U+1032 U+1010,MYANMAR VOWEL SIGN AI | MYANMAR LETTER TA
ံရ,158,U+1036 U+101B,MYANMAR SIGN ANUSVARA | MYANMAR LETTER RA
ၠန,158,U+1060 U+1014,MYANMAR CONSONANT SIGN MON MEDIAL LA | MYANMAR LETTER NA
ွိ,157,U+103D U+102D,MYANMAR CONSONANT SIGN MEDIAL WA | MYANMAR VOWEL SIGN I
ဘာ,155,U+1018 U+102C,MYANMAR LETTER BHA | MYANMAR VOWEL SIGN AA
လု,155,U+101C U+102F,MYANMAR LETTER LA | MYANMAR VOWEL SIGN U
ူက,155,U+1030 U+1000,MYANMAR VOWEL SIGN UU | MYANMAR LETTER KA
ၚဲ,154,U+105A U+1032,MYANMAR LETTER MON NGA | MYANMAR VOWEL SIGN AI
ပတ,153,U+1015 U+1010,MYANMAR LETTER PA | MYANMAR LETTER TA
ဟာ,152,U+101F U+102C,MYANMAR LETTER HA | MYANMAR VOWEL SIGN AA
ိဂ,152,U+102D U+1002,MYANMAR VOWEL SIGN I | MYANMAR LETTER GA
္ၜ,151,U+1039 U+105C,MYANMAR SIGN VIRAMA | MYANMAR LETTER MON BBA
သီ,150,U+101E U+102E,MYANMAR LETTER SA | MYANMAR VOWEL SIGN II
မိ,150,U+1019 U+102D,MYANMAR LETTER MA | MYANMAR VOWEL SIGN I
။ပ,149,U+104B U+1015,MYANMAR SIGN SECTION | MYANMAR LETTER PA
္က,148,U+1039 U+1000,MYANMAR SIGN VIRAMA | MYANMAR LETTER KA
်ေ,147,U+103A U+1031,MYANMAR SIGN ASAT | MYANMAR VOWEL SIGN E
ကလ,147,U+1000 U+101C,MYANMAR LETTER KA | MYANMAR LETTER LA
ဍေ,147,U+100D U+1031,MYANMAR LETTER DDA | MYANMAR VOWEL SIGN E
ဝါ,146,U+101D U+102B,MYANMAR LETTER WA | MYANMAR VOWEL SIGN TALL AA
ဂတ,146,U+1002 U+1010,MYANMAR LETTER GA | MYANMAR LETTER TA
်ၜ,146,U+103A U+105C,MYANMAR SIGN ASAT | MYANMAR LETTER MON BBA
ာဂ,145,U+102C U+1002,MYANMAR VOWEL SIGN AA | MYANMAR LETTER GA
ံဒ,145,U+1036 U+1012,MYANMAR SIGN ANUSVARA | MYANMAR LETTER DA
မဒ,144,U+1019 U+1012,MYANMAR LETTER MA | MYANMAR LETTER DA
တၞ,143,U+1010 U+105E,MYANMAR LETTER TA | MYANMAR CONSONANT SIGN MON MEDIAL NA
းဂ,142,U+1038 U+1002,MYANMAR SIGN VISARGA | MYANMAR LETTER GA
ပန,141,U+1015 U+1014,MYANMAR LETTER PA | MYANMAR LETTER NA
ထေ,140,U+1011 U+1031,MYANMAR LETTER THA | MYANMAR VOWEL SIGN E
တေ,139,U+1010 U+1031,MYANMAR LETTER TA | MYANMAR VOWEL SIGN E
ိန,139,U+102D U+1014,MYANMAR VOWEL SIGN I | MYANMAR LETTER NA
ဟိ,139,U+101F U+102D,MYANMAR LETTER HA | MYANMAR VOWEL SIGN I
လၟ,139,U+101C U+105F,MYANMAR LETTER LA | MYANMAR CONSONANT SIGN MON MEDIAL MA
းလ,138,U+1038 U+101C,MYANMAR SIGN VISARGA | MYANMAR LETTER LA
ဏံ,138,U+100F U+1036,MYANMAR LETTER NNA | MYANMAR SIGN ANUSVARA
်ဓ,137,U+103A U+1013,MYANMAR SIGN ASAT | MYANMAR LETTER DHA
မက,137,U+1019 U+1000,MYANMAR LETTER MA | MYANMAR LETTER KA
်ဖ,137,U+103A U+1016,MYANMAR SIGN ASAT | MYANMAR LETTER PHA
မု,137,U+1019 U+102F,MYANMAR LETTER MA | MYANMAR VOWEL SIGN U
ဗ္,136,U+1017 U+1039,MYANMAR LETTER BA | MYANMAR SIGN VIRAMA
းမ,134,U+1038 U+1019,MYANMAR SIGN VISARGA | MYANMAR LETTER MA
စၟ,134,U+1005 U+105F,MYANMAR LETTER CA | MYANMAR CONSONANT SIGN MON MEDIAL MA
ရု,133,U+101B U+102F,MYANMAR LETTER RA | MYANMAR VOWEL SIGN U
ဲဗ,133,U+1032 U+1017,MYANMAR VOWEL SIGN AI | MYANMAR LETTER BA
ုည,132,U+102F U+100A,MYANMAR VOWEL SIGN U | MYANMAR LETTER NNYA
ကရ,132,U+1000 U+101B,MYANMAR LETTER KA | MYANMAR LETTER RA
မပ,132,U+1019 U+1015,MYANMAR LETTER MA | MYANMAR LETTER PA
ျိ,130,U+103B U+102D,MYANMAR CONSONANT SIGN MEDIAL YA | MYANMAR VOWEL SIGN I
လွ,130,U+101C U+103D,MYANMAR LETTER LA | MYANMAR CONSONANT SIGN MEDIAL WA
