file,cluster_count,raw_text_length,nga_to_mon_nga_replacements,mon_half_stop_removed,mon_full_stop_removed,status
monnews/monnews_20260120_223250_1639.txt,797,1899,0,0,0,ok
monnews/monnews_20260120_223250_3074.txt,703,1626,0,0,0,ok
monnews/monnews_20260120_223250_3031.txt,907,2166,0,0,0,ok
monnews/monnews_20260120_223250_3549.txt,755,1840,0,0,0,ok
monnews/monnews_20260120_223250_1491.txt,720,1809,0,0,0,ok
monnews/monnews_20260120_223250_1721.txt,1122,2726,0,0,0,ok
monnews/monnews_20260120_223250_616.txt,2113,5245,0,0,0,ok
monnews/monnews_20260120_223250_2697.txt,8,126,0,0,0,ok
monnews/monnews_20260120_223250_1513.txt,622,1572,0,0,0,ok
monnews/monnews_20260120_223250_2184.txt,1042,2552,0,0,0,ok
monnews/monnews_20260120_223250_2311.txt,953,2244,0,0,0,ok
monnews/monnews_20260120_223250_1949.txt,1069,2788,0,0,0,ok
monnews/monnews_20260120_223250_1728.txt,992,2437,0,0,0,ok
monnews/monnews_20260120_223250_999.txt,2875,6758,0,0,0,ok
monnews/monnews_20260120_223250_2686.txt,801,2105,0,0,0,ok
monnews/monnews_20260120_223250_1179.txt,1563,3939,0,0,0,ok
monnews/monnews_20260120_223250_468.txt,670,1672,0,0,0,ok
monnews/monnews_20260120_223250_443.txt,102,264,0,0,0,ok
monnews/monnews_20260120_223250_2724.txt,870,2188,0,0,0,ok
monnews/monnews_20260120_223250_3567.txt,615,1519,0,0,0,ok
monnews/monnews_20260120_223250_1437.txt,2485,6447,0,0,0,ok
monnews/monnews_20260120_223250_452.txt,2242,5985,0,0,0,ok
monnews/monnews_20260120_223250_2980.txt,1093,2813,0,0,0,ok
monnews/monnews_20260120_223250_1464.txt,1927,4675,0,0,0,ok
monnews/monnews_20260120_223250_1495.txt,955,2314,0,0,0,ok
monnews/monnews_20260120_223250_1455.txt,1637,3611,151,0,0,ok
monnews/monnews_20260120_223250_2200.txt,873,2131,0,0,0,ok
monnews/monnews_20260120_223250_829.txt,720,1729,0,0,0,ok
monnews/monnews_20260120_223250_1643.txt,3963,9803,0,0,0,ok
monnews/monnews_20260120_223250_1776.txt,934,2320,0,0,0,ok
monnews/monnews_20260120_223250_2639.txt,1083,2695,0,0,0,ok
monnews/monnews_20260120_223250_94.txt,1003,2412,0,0,0,ok
monnews/monnews_20260120_223250_67.txt,690,1720,0,0,0,ok
monnews/monnews_20260120_223250_489.txt,3404,8846,0,0,0,ok
monnews/monnews_20260120_223250_2818.txt,773,1895,0,0,0,ok
monnews/monnews_20260120_223250_1674.txt,945,2357,0,0,0,ok
monnews/monnews_20260120_223250_907.txt,864,2131,0,0,0,ok
monnews/monnews_20260120_223250_2405.txt,645,1602,0,0,0,ok
